Date,Open,Close,High,Low,Pcr,Volume
2017-03-01,2365.25,2392.25,2401.00,2364.50,1.15,2119739
2017-03-02,2393.00,2379.00,2394.50,2378.00,1.64,1315622
2017-03-03,2379.75,2381.25,2383.25,2373.75,1.56,1318790
2017-03-06,2371.25,2372.25,2378.25,2367.00,1.43,1113595
2017-03-07,2371.25,2366.50,2375.50,2364.50,1.69,823042
2017-03-08,2365.75,2364.00,2373.00,2359.50,1.62,1084158
2017-03-09,2364.50,2367.75,2369.25,2354.00,2.07,950430
2017-03-10,2367.50,2371.75,2379.75,2362.25,1.94,1107367
2017-03-13,2366.00,2370.50,2372.00,2365.25,1.49,1123484
2017-03-14,2370.25,2364.25,2371.00,2354.75,1.72,911642
2017-03-15,2364.50,2382.00,2387.50,2363.25,1.42,1238080
2017-03-16,2381.75,2378.00,2388.75,2373.50,1.51,1228909
2017-03-17,2382.25,2385.80,2385.75,2379.00,2.54,1185911
2017-03-20,2372.50,2370.00,2376.00,2365.50,2.04,1004152
2017-03-21,2369.00,2336.75,2378.75,2336.50,1.90,1264599
2017-03-22,2338.75,2348.00,2348.75,2332.25,1.99,1556671
2017-03-23,2347.75,2343.25,2356.00,2338.50,1.65,1097865
2017-03-24,2343.00,2342.25,2352.75,2331.75,2.59,1196669
2017-03-27,2331.25,2340.50,2341.50,2318.00,1.71,1259816
